Source MAC,Destination MAC,Protocol,Service,Source Address,Destination Address,Sequence Number,Acknowledgement Number,SYN Bit,ACK Bit,FIN Bit,Src Bytes,Duration
50:9A:4C:1E:09:A4,48:BA:4E:23:EE:49,1,66,10.3.2.221,10.3.3.63,n,n,n,n,n,0,0.0
48:BA:4E:23:EE:49,50:9A:4C:1E:09:A4,1,66,10.3.3.63,10.3.2.221,n,n,n,n,n,0,0.0012171268463134766
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5747189521789551
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5766656398773193
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5781662464141846
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5795011520385742
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5809593200683594
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5823867321014404
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5839083194732666
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5853300094604492
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.586658239364624
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.588371992111206
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5904860496520996
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5919764041900635
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.593071699142456
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.5947706699371338
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.5978176593780518
